vocabfile => ptb/ptb.vocab
batchsize => 25
epochs => 20
devfile => ptb/ptb.valid.txt
trainfile => ptb/ptb.train.txt
atype => KnetArray{Float32}
embedding => 256
gclip => 5.0
hiddens => [550]
Initial devperp 9999.535024955067
Epoch 1 | dperp 280.27635248650654 | trainperp 312.9476888865333
Epoch 2 | dperp 258.83612640129166 | trainperp 211.64566792050124
Epoch 3 | dperp 255.71916462289323 | trainperp 166.0804728807912
Epoch 4 | dperp 263.5116860910026 | trainperp 127.11443952294576
Epoch 5 | dperp 274.54549462461847 | trainperp 95.45361092763781
Epoch 6 | dperp 296.1158658819419 | trainperp 69.66851670274004
Epoch 7 | dperp 316.56275550968985 | trainperp 51.69110922275622
Epoch 8 | dperp 347.08784897649934 | trainperp 38.675512437276225
Epoch 9 | dperp 378.0416449782667 | trainperp 30.094976335971875
Epoch 10 | dperp 413.39313927974246 | trainperp 24.306002414460636
Epoch 11 | dperp 449.03782624740575 | trainperp 19.57509908385672
Epoch 12 | dperp 490.35724523668875 | trainperp 16.728472386312472
Epoch 13 | dperp 541.6978859764489 | trainperp 14.157052967124288
Epoch 14 | dperp 596.9285557701118 | trainperp 12.553470898947884
Epoch 15 | dperp 643.9034397985913 | trainperp 11.103116660865211
Epoch 16 | dperp 724.7401781756644 | trainperp 10.004994958097516
Epoch 17 | dperp 784.8046875370902 | trainperp 9.188753587954604
Epoch 18 | dperp 879.6121338753967 | trainperp 8.383766091731498
Epoch 19 | dperp 943.1291933425931 | trainperp 7.896414066340792
Epoch 20 | dperp 1037.9264957630835 | trainperp 7.165707474016454
